taxon_unit_rtu,taxon_unit_species,taxon_unit_genus,taxon_unit_family,taxo_level,species_key,binomial,genus,family,order,class,valid_name,name
species:cdnom:0,species:cdnom:0,genus:Brachinus,family:Carabidae,species,cdnom:0,Brachinus elegans,Brachinus,Carabidae,Coleoptera,Insecta,"Brachinus elegans Chaudoir, 1842",Brachinus elegans
species:cdnom:9280,species:cdnom:9280,genus:Brachinus,family:Carabidae,species,cdnom:9280,Brachinus psophia,Brachinus,Carabidae,Coleoptera,Insecta,"Brachinus psophia Audinet-Serville, 1821",Brachinus psophia
species:cdnom:9285,species:cdnom:9285,genus:Brachinus,family:Carabidae,species,cdnom:9285,Brachinus sclopeta,Brachinus,Carabidae,Coleoptera,Insecta,"Brachinus sclopeta (Fabricius, 1792)",Brachinus sclopeta
species:cdnom:9275,species:cdnom:9275,genus:Gynandromorphus,family:Carabidae,species,cdnom:9275,Gynandromorphus etruscus,Gynandromorphus,Carabidae,Coleoptera,Insecta,"Gynandromorphus etruscus (Quensel in Schönherr, 1806)",Gynandromorphus etruscus
species:cdnom:8531,species:cdnom:8531,genus:Notiophilus,family:Carabidae,species,cdnom:8531,Notiophilus quadripunctatus,Notiophilus,Carabidae,Coleoptera,Insecta,"Notiophilus quadripunctatus Dejean, 1826",Notiophilus quadripunctatus
species:cdnom:222940,species:cdnom:222940,genus:Asaphidion,family:Carabidae,species,cdnom:222940,Asaphidion curtum,Asaphidion,Carabidae,Coleoptera,Insecta,"Asaphidion curtum (Heyden, 1870)",Asaphidion curtum
species:cdnom:8838,species:cdnom:8838,genus:Platynus,family:Carabidae,species,cdnom:8838,Platynus assimilis,Platynus,Carabidae,Coleoptera,Insecta,"Platynus assimilis (Paykull, 1790)",Platynus assimilis
species:cdnom:222552,species:cdnom:222552,genus:Pterostichus,family:Carabidae,species,cdnom:222552,Pterostichus ovoideus,Pterostichus,Carabidae,Coleoptera,Insecta,"Pterostichus ovoideus (Sturm, 1824)",Pterostichus ovoideus
species:cdnom:794337,species:cdnom:794337,genus:Chlaenius,family:Carabidae,species,cdnom:794337,Chlaenius tibialis,Chlaenius,Carabidae,Coleoptera,Insecta,"Chlaenius tibialis Dejean, 1826",Chlaenius tibialis
species:cdnom:9389,species:cdnom:9389,genus:Chlaenius,family:Carabidae,species,cdnom:9389,Chlaenius vestitus,Chlaenius,Carabidae,Coleoptera,Insecta,"Chlaenius vestitus (Paykull, 1790)",Chlaenius vestitus
species:cdnom:222829,species:cdnom:222829,genus:Tachyura,family:Carabidae,species,cdnom:222829,Tachyura parvula,Tachyura,Carabidae,Coleoptera,Insecta,"Tachyura parvula (Dejean, 1831)",Tachyura parvula
species:cdnom:8784,species:cdnom:8784,genus:Calathus,family:Carabidae,species,cdnom:8784,Calathus melanocephalus,Calathus,Carabidae,Coleoptera,Insecta,"Calathus melanocephalus (Linnaeus, 1758)",Calathus melanocephalus
species:cdnom:8239,species:cdnom:8239,genus:Syntomus,family:Carabidae,species,cdnom:8239,Syntomus foveatus,Syntomus,Carabidae,Coleoptera,Insecta,"Syntomus foveatus (Geoffroy in Fourcroy, 1785)",Syntomus foveatus
species:cdnom:222315,species:cdnom:222315,genus:Syntomus,family:Carabidae,species,cdnom:222315,Syntomus obscuroguttatus,Syntomus,Carabidae,Coleoptera,Insecta,"Syntomus obscuroguttatus (Duftschmid, 1812)",Syntomus obscuroguttatus
species:cdnom:222355,species:cdnom:222355,genus:Calathus,family:Carabidae,species,cdnom:222355,Calathus ambiguus,Calathus,Carabidae,Coleoptera,Insecta,"Calathus ambiguus (Paykull, 1790)",Calathus ambiguus
genus:Calathus,NA,genus:Calathus,family:Carabidae,genus,NA,NA,Calathus,Carabidae,Coleoptera,Insecta,"Calathus Bonelli, 1810",Calathus
species:cdnom:9231,species:cdnom:9231,genus:Amara,family:Carabidae,species,cdnom:9231,Amara similata,Amara,Carabidae,Coleoptera,Insecta,"Amara similata (Gyllenhal, 1810)",Amara similata
