taxon_unit,cd_ref,accepted_name,genus,family,observed_in_assemblage,candidate_origin
species:cdref:227607,227607,Mesoblaniulus serrula,Mesoblaniulus,Blaniulidae,FALSE,TAXREF_mainland
species:cdref:942628,942628,Mesoiulus cavernarum,Mesoiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:288158,288158,Monacobates monoecensis,Monacobates,Blaniulidae,FALSE,TAXREF_mainland
species:cdref:227524,227524,Mycogona germanica,Mycogona,Chordeumatidae,FALSE,TAXREF_mainland
species:cdref:227575,227575,Nanogona balazuci,Nanogona,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:227576,227576,Nanogona cebennica,Nanogona,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:227577,227577,Nanogona davidi,Nanogona,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:227578,227578,Nanogona digitata,Nanogona,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:227579,227579,Nanogona polydesmoides,Nanogona,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:227580,227580,Nanogona uncinata,Nanogona,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:227613,227613,Nemasoma varicorne,Nemasoma,Nemasomatidae,FALSE,TAXREF_mainland
species:cdref:227608,227608,Nopoiulus kochii,Nopoiulus,Blaniulidae,FALSE,TAXREF_mainland
species:cdnom:227609,227609,Occitaniulus rouchi,Occitaniulus,Blaniulidae,TRUE,observed_RMQS
species:cdref:227682,227682,Occitanocookia hirsuta,Occitanocookia,Trichopolydesmidae,FALSE,TAXREF_mainland
species:cdref:227581,227581,Ochogona gallitarum,Ochogona,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:227661,227661,Ommatoiulus albolineatus,Ommatoiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:288486,288486,Ommatoiulus bipartitus,Ommatoiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:227662,227662,Ommatoiulus corsicus,Ommatoiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:227665,227665,Ommatoiulus imminutus,Ommatoiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:227667,227667,Ommatoiulus rutilans,Ommatoiulus,Julidae,FALSE,TAXREF_mainland
species:cdnom:227668,227668,Ommatoiulus sabulosus,Ommatoiulus,Julidae,TRUE,observed_RMQS
species:cdref:919802,919802,Ommatoiulus sabulosus,Ommatoiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:227461,227461,Onychoglomeris castanea,Onychoglomeris,Glomeridae,FALSE,TAXREF_mainland
species:cdnom:227687,227687,Ophiodesmus albonanus,Ophiodesmus,Macrosternodesmidae,TRUE,observed_RMQS
species:cdref:227669,227669,Ophyiulus bastiensis,Ophyiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:227671,227671,Ophyiulus corsicus,Ophyiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:227673,227673,Ophyiulus pilosus,Ophyiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:227674,227674,Ophyiulus renosensis,Ophyiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:227551,227551,Opisthocheiron canayerensis,Opisthocheiron,Opisthocheiridae,FALSE,TAXREF_mainland
species:cdref:227552,227552,Opisthocheiron cornutum,Opisthocheiron,Opisthocheiridae,FALSE,TAXREF_mainland
species:cdref:227553,227553,Opisthocheiron elegans,Opisthocheiron,Opisthocheiridae,FALSE,TAXREF_mainland
